Summary,Issue Type,Priority,Story Points,Epic Name,Description,Acceptance Criteria
"Como entrenador quiero ver la lista de mis atletas para saber a quienes estoy entrenando",Story,High,2,Gestion de Atletas,"Implementar el endpoint GET /api/athletes que devuelva todos los atletas activos del entrenador autenticado. Archivos: src/models/athleteModel.js, src/controllers/athleteController.js, src/routes/athletes.js","1. El modelo findAllByTrainer(trainerId) ejecuta SELECT filtrando por trainer_id y is_active = TRUE. 2. El controlador getAll obtiene el trainer_id de req.trainer y llama al modelo. 3. La ruta GET / esta protegida con el middleware auth. 4. Devuelve un array JSON con los atletas ordenados alfabeticamente. 5. Si no hay atletas devuelve array vacio. 6. Si no hay token devuelve 401."
"Como entrenador quiero ver el detalle de un atleta para revisar su informacion completa",Story,High,1,Gestion de Atletas,"Implementar el endpoint GET /api/athletes/:id que devuelva la informacion completa de un atleta. Archivos: src/models/athleteModel.js, src/controllers/athleteController.js, src/routes/athletes.js","1. El modelo findById(athleteId) ejecuta SELECT por athlete_id. 2. El controlador getOne obtiene el ID de req.params.id. 3. Si el atleta no existe devuelve 404. 4. Si existe devuelve el objeto JSON. 5. La ruta esta protegida con auth."
"Como entrenador quiero registrar un nuevo atleta para empezar a gestionar su entrenamiento",Story,High,3,Gestion de Atletas,"Implementar el endpoint POST /api/athletes que permita crear un atleta vinculado al entrenador autenticado. Archivos: src/models/athleteModel.js, src/controllers/athleteController.js, src/routes/athletes.js","1. El modelo create(data) ejecuta INSERT con trainer_id, first_name, last_name, document, email, birth_date. 2. El controlador valida campos obligatorios (400 si faltan). 3. El trainer_id se toma de req.trainer.trainer_id. 4. Si email o documento duplicado devuelve 409. 5. Si OK devuelve 201. 6. Ruta protegida con auth."
"Como entrenador quiero editar los datos de un atleta para mantener su informacion actualizada",Story,Medium,2,Gestion de Atletas,"Implementar el endpoint PUT /api/athletes/:id que permita actualizar los datos de un atleta existente. Archivos: src/models/athleteModel.js, src/controllers/athleteController.js, src/routes/athletes.js","1. El modelo update(athleteId, data) ejecuta UPDATE con SET y updated_at = NOW(). 2. El controlador obtiene athleteId de req.params.id y datos de req.body. 3. Devuelve el atleta actualizado con RETURNING *. 4. Ruta protegida con auth."
"Como entrenador quiero desactivar un atleta que ya no entreno para que no aparezca en mi lista",Story,Medium,1,Gestion de Atletas,"Implementar el endpoint DELETE /api/athletes/:id que desactive un atleta (soft delete). Archivos: src/models/athleteModel.js, src/controllers/athleteController.js, src/routes/athletes.js","1. El modelo deactivate(athleteId) ejecuta UPDATE SET is_active = FALSE. 2. No se elimina el registro de la BD. 3. Devuelve mensaje de confirmacion. 4. Ruta protegida con auth."
"Como entrenador quiero ver todos los pagos de mis atletas para controlar mis finanzas",Story,High,3,Gestion Financiera,"Implementar el endpoint GET /api/finances que devuelva todos los pagos del entrenador incluyendo nombre del atleta. Ejecutar logica de vencimiento automatico antes de devolver datos. Archivos: src/models/financeModel.js, src/controllers/financeController.js, src/routes/finances.js","1. El modelo findAllByTrainer hace JOIN entre payment y athlete para incluir nombre. 2. El modelo updateOverduePayments() cambia a vencido los pagos con mas de 5 dias sin pagar. 3. El controlador llama PRIMERO a updateOverduePayments y LUEGO a findAllByTrainer. 4. Devuelve array ordenado por due_date DESC. 5. Ruta protegida con auth."
"Como entrenador quiero ver los pagos de un atleta especifico para revisar su historial",Story,Medium,1,Gestion Financiera,"Implementar el endpoint GET /api/finances/athlete/:athleteId. Archivos: src/models/financeModel.js, src/controllers/financeController.js, src/routes/finances.js","1. El modelo findByAthlete(athleteId) ejecuta SELECT WHERE athlete_id ORDER BY due_date DESC. 2. El controlador obtiene athleteId de req.params.athleteId. 3. Devuelve array de pagos. 4. Ruta protegida con auth."
"Como entrenador quiero crear un registro de pago para llevar control de la facturacion",Story,High,2,Gestion Financiera,"Implementar el endpoint POST /api/finances. Archivos: src/models/financeModel.js, src/controllers/financeController.js, src/routes/finances.js","1. El modelo create(data) ejecuta INSERT con athlete_id, trainer_id, amount, due_date, notes. 2. Valida que athlete_id, amount y due_date son obligatorios (400). 3. trainer_id se toma de req.trainer. 4. Status por defecto pendiente. 5. Devuelve 201. 6. Ruta protegida con auth."
"Como entrenador quiero marcar un pago como pagado para actualizar el estado financiero",Story,High,1,Gestion Financiera,"Implementar el endpoint PUT /api/finances/:id/pay. Archivos: src/models/financeModel.js, src/controllers/financeController.js, src/routes/finances.js","1. El modelo markAsPaid(paymentId) ejecuta UPDATE SET status = pagado y paid_at = NOW(). 2. El controlador obtiene paymentId de req.params.id. 3. Devuelve el pago actualizado. 4. Ruta protegida con auth."
"Como entrenador quiero que los pagos vencidos se marquen automaticamente para no revisarlos manualmente",Story,High,2,Gestion Financiera,"Implementar la funcion updateOverduePayments() con la regla de gracia de 5 dias. Archivo: src/models/financeModel.js","1. Filtra por status = pendiente AND paid_at IS NULL AND due_date < NOW() - INTERVAL 5 days. 2. Solo actualiza status a vencido. 3. Actualiza updated_at = NOW(). 4. Se ejecuta cada vez que se consulta la lista de pagos."
"Como entrenador quiero iniciar sesion con mi email y contrasena para acceder a mi dashboard",Story,High,2,Frontend Login,"Agregar JavaScript al formulario de login.html para enviar credenciales a POST /api/auth/login, guardar token en localStorage y redirigir al dashboard. Archivo: public/pages/login.html","1. Al hacer submit se previene recarga (preventDefault). 2. Se envian email y password como JSON. 3. Si OK se guarda token en localStorage y redirige a dashboard.html. 4. Si error se muestra mensaje al usuario. 5. Si ya tiene token valido redirigir directo."
